solver_node,sumo_node_id
757,297794591
758,298025682
759,298025687
760,298025694
761,298025699
762,298025704
763,298505224
764,298509028
765,298509039
766,298509040
767,298510750
768,298510752
769,298510754
770,298510756
771,298511021
772,298511554
773,298511555
774,298513376
775,298513378
776,298513389
777,298584825
778,298584827
779,298584836
780,298584837
781,298584852
782,298584871
783,298584872
784,298584875
785,298584876
786,298584878
787,298584879
788,298584885
789,298584886
790,298584892
791,298584893
792,298584894
793,298584896
794,298584897
795,298584936
796,298584984
797,298585000
798,298585001
799,298825558
800,298825562
801,298825565
802,298826269
803,298826273
804,298826279
805,299022624
806,299022625
807,299022634
808,299022645
809,299022670
810,299022671
811,299022674
812,299022677
813,299022692
814,299022707
815,299022715
816,299022720
817,299027461
818,299027477
819,299027480
820,299027481
821,299027491
822,299045451
823,299045489
824,299045492
825,299045502
826,299045505
827,299045509
828,299045511
829,299045530
830,299045532
831,299045540
832,299045545
833,299045559
834,299045561
835,299045563
836,299045565
837,299045585
838,299045587
839,299045594
840,299045598
841,299089229
842,299089235
843,299089256
844,299134024
845,299134025
846,299134026
847,299134041
848,299183801
849,299184002
850,299276338
851,299276339
852,299276344
853,299276352
854,299276360
855,299276361
856,299276374
857,299292021
858,299391259
859,300153147
860,300186055
861,300190242
862,300190245
863,300707088
864,300707133
865,300707171
866,300707174
867,300707187
868,300707191
869,300707211
870,300707222
871,301490890
872,301490899
873,301490902
874,301490903
875,301490904
876,301490905
877,301490906
878,301490917
879,301490923
880,301490930
881,301490931
882,301490941
883,301490943
884,301490944
885,301490951
886,301490957
887,301490962
888,302464754
889,302464763
890,30255438
891,30255443
892,30255446
893,30255449
894,302857856
895,302857858
896,302857860
897,302857870
898,302857874
899,302857875
900,302857880
901,302857881
902,302857898
903,302857899
904,306013063
905,306013066
906,306013067
907,306013069
908,306013084
909,306013087
910,306013088
911,306013090
912,306013092
913,306013118
914,306013433
915,306013441
916,306013442
917,306013455
918,306013501
919,306201538
920,306201562
921,306201582
922,306201589
923,306201596
924,306201745
925,306201754
926,306201777
927,30786262-AddedOffRampNode
928,308232155
929,308232159
930,308232164
931,308232165
932,308232169
933,308232171
934,308232185
935,308232186
936,308232187
937,309711607
938,309711608
939,309711609
940,309711617
941,309711618
942,309711623
943,309711626
944,309711627
945,309711629
946,309711631
947,309711632
948,309711633
949,309711634
950,309711636
951,310717070
952,310717107
953,310717122
954,310717145
955,310717148
956,310717154
957,310717201
958,310717268
959,310718855
960,3144328380
961,3144328382
962,3144328383
963,3241611539
964,328227860
965,328346645
966,328346710
967,328346878
968,328347026
969,328347123
970,328347159
971,328347183
972,328347209
973,328347615
974,328347697
975,328348027
976,328348214
977,328348395
978,328348571
979,328348735
980,328348813
981,328348878
982,328348914
983,328349053
984,328349083
985,328349815
986,328349888
987,328349949
988,328349970
989,328350274
990,328350306
991,328350787
992,328350885
993,328351347
994,328351618
995,328351901
996,328352005
997,328354238
998,328354337
999,328354473
1000,328354585
1001,328355015
1002,329250345
1003,329250481
1004,329250962
1005,329251090
1006,329923235
1007,329923257
1008,329923258
1009,329923305
1010,329923308
1011,329923312
1012,329923351
1013,329923424
1014,329923481
1015,329923483
1016,329923506
1017,329923508
1018,329923517
1019,329923537
1020,329923547
1021,329923559
1022,329923585
1023,329923619
1024,329923638
1025,329923749
1026,329923828
1027,329923903
1028,329923907
1029,329923939
1030,329923974
1031,329924001
1032,329924062
1033,329924120
1034,329924198
1035,329924219
1036,330382360
1037,330382364
1038,330382409
1039,330382418
1040,330382425
1041,330382471
1042,330382472
1043,330382478
1044,330382486
1045,330382520
1046,330382521
1047,330382522
1048,330382524
1049,330382526
1050,330382527
1051,330382539
1052,330382540
1053,330382611
1054,330382612
1055,331664429
1056,331664433
1057,331664439
1058,331664523
1059,331969122
1060,331969125
1061,331969126
1062,331969127
1063,331969254
1064,331969334
1065,331969396
1066,331969397
1067,331969416
1068,331969417
1069,331969423
1070,331969465
1071,331969537
1072,331969548
1073,331969552
1074,331969654
1075,331969691
1076,331969760
1077,332419193
1078,332419211
1079,332419216
1080,332419225
1081,332419229
1082,332419679
1083,332419680
1084,332419684
1085,333850655
1086,333850659
1087,333850662
1088,334325517
1089,334325580
1090,334325643
1091,334325720
1092,334325786
1093,334325801
1094,334325825
1095,334325905
1096,334325970
1097,334325973
1098,334325993
1099,334623749
1100,334623755
1101,335034175
1102,335034178
1103,335034217
1104,335034220
1105,335034245
1106,335820891
1107,335820892
1108,335820946
1109,335820950
1110,335820951
1111,335820953
1112,335952330
1113,335957004
1114,335958276
1115,336984409
1116,336984417
1117,336984427
1118,336984436
1119,336984463
1120,336984471
1121,336984514
1122,336984534
1123,336984577
1124,336984582
1125,336984585
1126,336984595
1127,336984625
1128,336984635
1129,336984661
1130,336984664
1131,336984668
1132,336984675
1133,336984689
1134,338449442
1135,338449445
1136,338449449
1137,338449471
1138,338449550
1139,338449576
1140,338449619
1141,338449983
1142,338450000
1143,338450002
1144,338450030
1145,338450075
1146,338450088
1147,338450120
1148,338450199
1149,338450203
1150,338450211
1151,338450214
1152,338450235
1153,338450274
1154,338450275
1155,338450288
1156,338450309
1157,338450311
1158,338450312
1159,338450313
1160,338450316
1161,338450328
1162,338450331
1163,338450360
1164,338450368
1165,338450371
1166,338450403
1167,338450404
1168,338450405
1169,338450429
1170,338450430
1171,338450433
1172,338450435
1173,338450436
1174,338450452
1175,338450474
1176,338450486
1177,338450516
1178,338450522
1179,338450546
1180,338450549
1181,338450550
1182,338450553
1183,338450564
1184,338450575
1185,338450577
1186,338450579
1187,338450584
1188,338450585
1189,338450586
1190,338450596
1191,338450614
1192,338450634
1193,338450640
1194,338450658
1195,338450660
1196,338450661
1197,338450662
1198,338450665
1199,338450751
1200,338450782
1201,338849148
1202,338849150
1203,338849157
1204,338849165
1205,339204557
1206,339204561
1207,339204563
1208,339271792
1209,339271794
1210,339271796
1211,339271797
1212,339271801
1213,339271826
1214,339271833
1215,339271844
1216,339271846
1217,339271853
1218,339271860
1219,339271866
1220,339271874
1221,339271876
1222,339271877
1223,339271878
1224,339271891
1225,339271892
1226,339271898
1227,339271913
1228,339271914
1229,339271937
1230,339271943
1231,339271954
1232,339573880
1233,339573882
1234,340085930
1235,340085931
1236,340085934
1237,340085935
1238,340085936
1239,340085938
1240,340085945
1241,340085946
1242,340085947
1243,340085948
1244,340085983
1245,340085987
1246,340086019
1247,340086051
1248,340433707
1249,340433753
1250,340433767
1251,340433794
1252,340433834
1253,340433857
1254,340689482
1255,342187415
1256,34442227-AddedOnRampNode
1257,344446974
1258,344967216
1259,344967237
1260,344967249
1261,344967255
1262,344967276
1263,344967278
1264,344967304
1265,344967313
1266,344967316
1267,344967326
1268,344967328
1269,344967365
1270,344967379
1271,344967385
1272,344967390
1273,344967393
1274,344967396
1275,344967413
1276,344967416
1277,344967438
1278,344967441
1279,344967444
1280,344967446
1281,344967466
1282,344967475
1283,344967481
1284,344967484
1285,344967492
1286,344967495
1287,344967583
1288,345084666
1289,345084675
1290,345084677
1291,345084681
1292,345084713
1293,345084759
1294,345084761
1295,345084775
1296,345084778
1297,345084797
1298,345084800
1299,345084862
1300,345084895
1301,345084898
1302,345084900
1303,345084903
1304,345085049
1305,345085051
1306,345085054
1307,345085066
1308,345085081
1309,345085090
1310,345085110
1311,345085180
1312,345085226
1313,345085231
1314,345085235
1315,3561667625
1316,363709174
1317,363709175
1318,363709428
1319,363709429
1320,363711084
1321,363711339
1322,363714030
1323,363714039
1324,363716669
1325,363716843
1326,363717148
1327,363719039
1328,363719043
1329,363720368
1330,363728132
1331,363730874
1332,363730875
1333,363731229
1334,369887847
1335,369888138
1336,369888510
1337,376045510
1338,376114940
1339,376115090
1340,376115373
1341,376115785
1342,376116109
1343,376116378
1344,376117044
1345,376117786
1346,376117839
1347,376119030
1348,376119159
1349,3780381657
1350,3780382809
1351,3780382810
1352,3780395178
1353,380044976
1354,380045138
1355,380059648
1356,380059947
1357,380059958
1358,380060112
1359,380060129
1360,380060187
1361,380060469
1362,380060486
1363,380063483
1364,380063488
1365,387526911
1366,387552359
1367,387553807
1368,387944278
1369,387944279
1370,389902926
1371,390111756
1372,390608925
1373,390961829
1374,392323912
1375,392323915
1376,392323916
1377,392323928
1378,392900727
1379,392900889
1380,392901047
1381,392901090
1382,396314667
1383,4080014764
1384,4080014767
1385,4080014768
1386,4080014769
1387,4080014770
1388,4080014771
1389,4080014772
1390,4080014773
1391,4080014774
1392,4080014775
1393,4080014776
1394,4080014777
1395,408430803
1396,408435628
1397,408435643
1398,408435644
1399,408435645
1400,408435646
1401,408435647
1402,411648955
1403,411648963
1404,411929139
1405,411929140
1406,411929172
1407,411932204
1408,411932233
1409,411932239
1410,412684194
1411,412684299
1412,412684300
1413,412684301
1414,412684305
1415,412684309
1416,412684310
1417,412689855
1418,412689860
1419,412689889
1420,412689890
1421,412689895
1422,412689902
1423,412689918
1424,412859588
1425,412859589
1426,412862913
1427,412935618
1428,414478048
1429,414872744
1430,416184890
1431,416185189
1432,416185307
1433,416185950
1434,416186645
1435,416186844
1436,416187388
1437,416190298
1438,416191189
1439,416191302
1440,416191760
1441,416194769
1442,416194867
1443,416196556
1444,416200370
1445,416200980
1446,416201077
1447,416201533
1448,416201966
