node_id,x,y
293302280,3947.68,4345.38
293302282,5856.21,3355.98
293458860,2595.01,1296.65
293458913,1751.7,1402.5
293458965,2114.85,1126.81
293458971,2124.84,1593.91
293459037,2204.28,1547.63
293459039,1817.69,2020.05
293459040,1877.02,1867.05
293459053,1442.12,1703.75
293459054,1754.12,2152.11
293459056,1810.28,2205.45
293459059,1813.51,2305.07
293459066,1682.97,2825.7
293459068,1471.28,3032.41
293459077,1044.49,2967.5
293459086,910.54,2640.82
293459105,1491.16,2188.51
293815250,1104.4,3127.86
293815251,923.44,2428.87
293815255,1139.89,2552.94
293815259,1304.05,2588.66
293815289,3099.4,1473.23
293815292,3170.82,1100.57
293911678,6414.76,3758.45
293911791,6182.94,4235.83
293911983,6148.79,3231.04
293911986,6327.97,3621.69
293956352,4994.72,3317.94
293956353,5226.78,3447.42
293956355,3589.22,2078.42
293956356,3547.5,2114.59
293956367,2907.7,1974.57
293956368,3929.87,2401.08
293956373,3641.31,2153.05
293956384,3203.23,1986.94
293956396,2976.29,2064.01
293956398,2920.15,2022.53
293956420,3101.25,2126.97
293956423,3249.08,1921.43
293956442,3642.46,1755.41
293956447,3588.95,1801.98
293956462,3385.32,1801.78
293956505,3486.39,1868.69
293956512,3462.87,1865.5
293956522,3669.84,1723.37
293956526,3655.33,1581.94
293956528,3693.09,1500.51
293956530,3741.85,1448.21
293956532,3566.2,1584.11
293956541,3630.28,1458.58
293956561,3671.48,1629.07
293956572,3692.8,1352.55
293956605,3663.8,1338.52
294264112,1187.73,4066.61
294269482,935.3,3917.41
294269553,882.43,3863.53
294269657,1160.47,3686.01
294269662,1135.71,3612.63
294269673,1016.02,3603.11
294269692,989.24,3614.47
294269724,1057.53,3709.8
294269746,947.61,3773.61
294269776,1050.87,3891.33
294298844,3678.23,4023.97
294298849,3524.62,3896.08
294298864,3237.74,4276.91
294298869,2832.88,4036.39
294311865,1263.93,4064.57
294311965,1385.56,3950.19
294312018,1171.1,4116.51
294312021,1101.62,4220.16
294312022,1115.94,4311.35
294312026,1192.1,4374.09
294312055,1405.88,4193.22
294312066,1373.31,4119.8
294312075,1305.12,4048.22
294312175,1253.46,4260.36
294312222,1216.55,4229.99
294312233,1202.11,4217.23
294312295,1534.79,4019.3
294312341,1610.35,4026.96
294320062,857.61,4370.12
294320166,1304.78,4602.74
294320262,1530.51,4476.59
294320264,1718.69,4204.61
294320267,1659.51,4278.01
294320272,1583.97,4369.5
294320312,1705.44,4453.1
294320336,1542.03,4216.84
294320347,1527.86,4199.92
294320377,1603.03,4139.25
294320425,1540.04,4691.54
294320454,1432.83,4718.5
294320485,1532.07,4728.24
294320525,1663.15,4889.29
294320543,1863.21,4803.47
294320554,1973.78,4800.11
294320588,1898.32,4933.98
295144342,3492.17,1257.52
295144352,3417.29,1306.58
295144384,3229.43,1360.42
295144385,3143.74,1345.3
295144387,3027.99,1571.82
295144412,2694.53,1551.75
295144425,2553.34,1762.54
295144439,2467.38,1840.43
295144453,2863.55,1844.92
295144455,2676.47,1832.58
295144461,2280.81,2240.99
295144478,2347.68,2195.74
295144525,2381.67,2057.11
295144542,2333.49,2019.19
295144554,2500.98,2069.63
295144577,2313.61,2145.79
295144588,1422.99,2143.39
295144589,1387.15,2233.45
295144600,1304.76,2291.01
295144602,1189.0,2170.46
